OTU	F3D000	F3D001	F3D002	F3D003	F3D005	F3D006	F3D007	F3D008	F3D009	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150
Weissella oryzae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides distasonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Catenuloplanes indicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Faecalibacterium prausnitzii	0	0	0	0	0	0	0	0	0	27	18	15	11	11	6	42	72	32	12
Stenotrophomonas rhizophila	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria cinerea	0	0	0	0	0	0	0	0	0	0	1	0	2	4	0	0	0	0	0
Escherichia coli	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Haererehalobacter salaria	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	1
Dorea formicigenerans	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Anoxybacillus kestanbolensis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus zeaxanthinifaciens	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rothia aeria	1	1	2	1	0	1	1	1	2	0	0	0	0	0	0	1	0	0	0
Macrococcus caseolyticus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Corynebacterium aurimucosum	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0
Clostridium bowmanii	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium pseudolongum	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Actinomadura vinacea	9	64	33	107	43	29	10	12	19	97	28	46	178	217	112	307	260	311	45
Paracoccus aminovorans	5	21	11	22	12	10	0	3	3	36	5	8	47	55	32	86	73	90	8
Lactobacillus reuteri	9	9	1	14	0	3	4	13	3	6	0	2	6	4	1	14	20	15	2
Bifidobacterium longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Sphingomonas wittichii	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0
Lactobacillus vaginalis	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Bifidobacterium longum	19	0	4	15	0	0	0	0	0	14	21	7	18	5	5	19	57	24	19
Haemophilus parasuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Microbacterium chocolatum	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	2	0
Staphylococcus aureus	2	4	4	1	1	2	0	1	0	1	0	0	0	1	0	7	3	2	3
Haemophilus parainfluenzae	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	2
Sphingomonas wittichii	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Enterobacter ludwigii	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides plantarum	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
Propionibacterium acnes	5	2	4	1	3	4	2	3	2	0	0	0	0	2	1	5	1	1	1
Actinomadura vinacea	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0
Propionibacterium acnes	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Veillonella dispar	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Staphylococcus aureus	2	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0
